,result
1163,15
1164,107
1165,78
1166,111
1167,27
1168,241
1169,161
1170,262
1171,482
1172,91
1173,131
1174,123
1175,207
1176,157
1177,114
1178,207
1179,14
1180,202
1181,170
1182,59
1183,196
1184,28
1185,55
1186,94
1187,21
1188,183
1189,56
1190,58
1191,60
1192,188
1193,85
1194,126
1195,287
1196,14
1197,286
1198,162
1199,143
1200,121
1201,331
1202,65
1203,3
1204,373
1205,71
1206,302
1207,246
1208,296
1209,9
1210,130
1211,59
1212,15
1213,197
1214,29
1215,54
1216,301
1217,77
1218,76
1219,287
1220,190
1221,323
1222,276
1223,5
1224,141
1225,58
1226,246
1227,114
1228,120
1229,180
1230,45
1231,11
1232,67
1233,56
1234,37
1235,39
1236,49
1237,64
1238,327
1239,250
1240,75
1241,73
1242,52
1243,108
1244,68
1245,151
1246,57
1247,237
1248,29
1249,115
1250,109
1251,175
1252,16
1253,22
1254,117
1255,184
1256,125
1257,68
1258,7
1259,68
1260,86
1261,37
1262,109
1263,92
1264,124
1265,249
1266,239
1267,182
1268,30
1269,88
1270,62
1271,137
1272,86
1273,73
1274,186
1275,141
1276,16
1277,33
1278,188
1279,110
1280,67
1281,3
1282,327
1283,40
1284,103
1285,54
1286,45
1287,63
1288,110
1289,44
1290,63
1291,209
1292,121
1293,177
1294,47
1295,233
1296,25
1297,50
1298,51
1299,275
1300,72
1301,95
1302,166
1303,125
1304,34
1305,110
1306,52
1307,88
1308,71
1309,74
1310,91
1311,257
1312,54
1313,62
1314,337
1315,26
1316,161
1317,60
1318,180
1319,179
1320,140
1321,89
1322,333
1323,177
1324,151
1325,104
1326,92
1327,34
1328,113
1329,298
1330,210
1331,62
1332,25
1333,31
1334,57
1335,154
1336,122
1337,171
1338,56
1339,348
1340,107
1341,70
1342,40
1343,155
1344,192
1345,65
1346,335
1347,260
1348,17
1349,61
1350,17
1351,147
1352,103
1353,146
1354,215
1355,115
1356,192
1357,63
1358,101
1359,252
1360,107
1361,240
1362,222
1363,287
1364,132
1365,83
1366,79
1367,43
1368,48
1369,35
1370,75
1371,107
1372,207
1373,95
1374,63
1375,139
1376,107
1377,121
1378,72
1379,206
1380,51
1381,155
1382,205
1383,56
1384,97
1385,346
1386,11
1387,44
1388,16
1389,4
1390,71
1391,61
1392,58
1393,84
1394,175
1395,81
1396,98
1397,65
1398,243
1399,135
1400,75
1401,125
1402,10
1403,4
1404,25
1405,47
1406,199
1407,275
1408,8
1409,60
1410,65
1411,123
1412,131
1413,48
1414,188
1415,67
1416,126
1417,63
1418,331
1419,65
1420,94
1421,168
1422,147
1423,129
1424,128
1425,20
1426,23
1427,173
1428,107
1429,71
1430,49
1431,163
1432,433
1433,19
1434,215
1435,16
1436,120
1437,47
1438,30
1439,96
1440,191
1441,131
1442,19
1443,4
1444,26
1445,58
1446,59
1447,45
1448,94
1449,149
1450,58
1451,48
1452,181
1453,59
1454,31
1455,56
1456,25
1457,79
1458,110
1459,156
1460,121
1461,257
1462,59
1463,207
1464,171
1465,90
1466,11
1467,373
1468,22
1469,40
1470,94
1471,102
1472,42
1473,56
1474,267
1475,55
1476,247
1477,145
1478,159
1479,75
1480,52
1481,97
1482,48
1483,180
1484,260
1485,42
1486,196
1487,50
1488,99
1489,38
1490,173
1491,17
1492,3
1493,142
1494,199
1495,14
1496,160
1497,115
1498,40
1499,278
1500,34
1501,26
1502,71
1503,80
1504,264
1505,264
1506,10
1507,177
1508,153
1509,90
1510,64
1511,22
1512,97
1513,77
1514,62
1515,28
1516,114
1517,174
1518,402
1519,38
1520,132
1521,12
1522,101
1523,155
1524,43
1525,27
1526,181
1527,22
1528,147
1529,40
1530,382
1531,55
1532,147
1533,41
1534,86
1535,280
1536,46
1537,101
1538,78
1539,98
1540,77
1541,141
1542,239
1543,52
1544,133
1545,165
1546,3
1547,46
1548,46
1549,73
1550,182
1551,88
1552,43
1553,161
1554,59
1555,17
1556,18
1557,26
1558,199
1559,193
1560,262
1561,41
1562,87
1563,64
1564,30
1565,98
1566,164
1567,174
1568,208
1569,7
1570,225
1571,28
1572,21
1573,2
1574,150
1575,70
1576,62
1577,110
1578,222
1579,41
1580,32
1581,133
1582,179
1583,52
1584,20
1585,64
1586,68
1587,63
1588,46
1589,224
1590,37
1591,177
1592,130
1593,74
1594,75
1595,49
1596,33
1597,24
1598,67
1599,39
1600,18
1601,69
1602,329
1603,49
1604,74
1605,147
1606,64
1607,46
1608,152
1609,124
1610,98
1611,9
1612,122
1613,140
1614,169
1615,163
1616,326
1617,84
1618,43
1619,185
1620,20
1621,178
1622,213
1623,155
1624,56
1625,109
1626,86
1627,269
1628,210
1629,58
1630,128
1631,20
1632,120
1633,276
1634,87
1635,49
1636,18
1637,265
1638,90
1639,86
1640,264
1641,255
1642,40
1643,36
1644,181
1645,16
1646,236
1647,70
1648,129
1649,87
1650,21
1651,196
1652,69
1653,139
1654,296
1655,118
1656,11
1657,155
1658,8
1659,223
1660,24
1661,46
1662,69
1663,194
1664,76
1665,145
1666,202
1667,150
1668,140
1669,146
1670,93
1671,94
1672,153
1673,100
1674,16
1675,169
1676,23
1677,138
1678,352
1679,11
1680,87
1681,50
1682,165
1683,310
1684,89
1685,114
1686,89
1687,249
1688,140
1689,179
1690,10
1691,4
1692,117
1693,76
1694,116
1695,39
1696,49
1697,297
1698,273
1699,320
1700,122
1701,57
1702,113
1703,189
1704,150
1705,235
1706,55
1707,261
1708,48
1709,85
1710,170
1711,170
1712,47
1713,240
1714,53
1715,83
1716,128
1717,42
1718,169
1719,49
1720,128
1721,165
1722,37
1723,4
1724,57
1725,59
1726,203
1727,14
1728,19
1729,172
1730,181
1731,153
1732,3
1733,234
1734,17
1735,94
1736,119
1737,51
1738,60
1739,76
1740,18
1741,25
1742,218
1743,103
1744,65
1745,50
1746,120
1747,64
1748,67
1749,103
1750,121
1751,48
1752,88
1753,269
1754,6
1755,45
1756,20
1757,265
1758,200
1759,42
1760,166
1761,10
1762,145
1763,103
1764,78
1765,79
1766,190
1767,168
1768,109
1769,88
1770,62
1771,144
1772,185
1773,49
1774,15
1775,99
1776,83
1777,116
1778,282
1779,64
1780,82
1781,64
1782,43
1783,152
1784,128
1785,142
1786,132
1787,174
1788,237
1789,240
1790,138
1791,3
1792,35
1793,125
1794,12
1795,194
1796,268
1797,92
1798,76
1799,178
1800,27
1801,61
1802,81
1803,102
1804,129
1805,231
1806,293
1807,85
1808,111
1809,21
1810,15
1811,321
1812,81
1813,50
1814,217
1815,92
1816,6
1817,146
1818,81
1819,125
1820,72
1821,76
1822,9
1823,25
1824,60
1825,120
1826,160
1827,72
1828,38
1829,3
1830,110
1831,156
1832,27
1833,178
1834,192
1835,321
1836,77
1837,129
1838,111
1839,174
1840,19
1841,104
1842,46
1843,61
1844,191
1845,75
1846,19
1847,55
1848,190
1849,394
1850,228
1851,85
1852,6
1853,81
1854,159
1855,13
1856,111
1857,77
1858,13
1859,49
1860,205
1861,45
1862,220
1863,164
1864,69
1865,179
1866,72
1867,140
1868,150
1869,210
1870,94
1871,185
1872,177
1873,13
1874,197
1875,24
1876,108
1877,7
1878,39
1879,43
1880,315
1881,112
1882,202
1883,28
1884,62
1885,129
1886,255
1887,52
1888,54
1889,122
1890,38
1891,144
1892,189
1893,176
1894,7
1895,83
1896,183
1897,197
1898,45
1899,46
1900,212
1901,82
1902,127
1903,83
1904,69
1905,114
1906,72
1907,76
1908,18
1909,96
1910,149
1911,113
1912,78
1913,381
1914,48
1915,65
1916,66
1917,79
1918,240
1919,132
1920,45
1921,84
1922,145
1923,89
1924,42
1925,207
1926,79
1927,119
1928,45
1929,218
1930,116
1931,64
1932,50
1933,44
1934,100
1935,12
1936,197
1937,134
1938,212
1939,68
1940,29
1941,163
1942,138
1943,73
1944,122
1945,230
1946,211
1947,150
1948,53
1949,127
1950,53
1951,39
1952,97
1953,19
1954,133
1955,135
1956,245
1957,12
1958,6
1959,23
1960,34
1961,42
1962,262
1963,248
1964,21
1965,52
1966,102
1967,177
1968,147
1969,175
1970,127
1971,252
1972,11
1973,254
1974,250
1975,231
1976,154
1977,64
1978,173
1979,65
1980,35
1981,7
1982,28
1983,89
1984,6
1985,91
1986,71
1987,88
1988,55
1989,96
1990,150
1991,172
1992,89
1993,13
1994,253
1995,80
1996,5
1997,41
1998,88
1999,165
2000,309
2001,156
2002,162
2003,102
2004,19
2005,239
2006,70
2007,178
2008,311
2009,143
2010,57
2011,183
2012,28
2013,69
2014,232
2015,45
2016,34
2017,17
2018,45
2019,14
2020,29
2021,221
2022,80
2023,74
2024,124
2025,85
2026,158
2027,148
2028,35
2029,75
2030,63
2031,24
2032,58
2033,175
2034,129
2035,241
2036,89
2037,60
2038,55
2039,148
2040,43
2041,208
2042,95
2043,97
2044,236
2045,63
2046,22
2047,308
2048,111
2049,171
2050,26
2051,79
2052,195
2053,114
2054,66
2055,38
2056,73
2057,110
2058,224
2059,159
2060,265
2061,68
2062,91
2063,221
2064,73
2065,124
2066,145
2067,148
2068,206
2069,227
2070,155
2071,173
2072,9
2073,49
2074,155
2075,158
2076,154
2077,217
2078,73
2079,47
2080,113
2081,264
2082,40
2083,215
2084,191
2085,59
2086,79
2087,91
2088,55
2089,211
2090,106
2091,324
2092,323
2093,91
2094,44
2095,108
2096,36
2097,16
2098,185
2099,191
2100,166
2101,83
2102,192
2103,220
2104,72
2105,189
2106,81
2107,188
2108,40
2109,78
2110,66
2111,117
2112,505
2113,58
2114,278
2115,50
2116,68
2117,158
2118,58
2119,148
2120,117
2121,99
2122,16
2123,99
2124,97
2125,250
2126,66
2127,64
2128,198
2129,55
2130,25
2131,57
2132,116
2133,159
2134,78
2135,133
2136,217
2137,47
2138,295
2139,179
2140,65
2141,84
2142,126
2143,30
2144,262
2145,225
2146,61
2147,49
2148,80
2149,357
2150,105
2151,9
2152,35
2153,59
2154,51
2155,74
2156,66
2157,9
2158,297
2159,63
2160,102
2161,276
2162,138
2163,88
2164,33
2165,18
2166,231
2167,32
2168,132
2169,21
2170,87
2171,21
2172,68
2173,71
2174,53
2175,137
2176,136
2177,66
2178,104
2179,42
2180,85
2181,20
2182,200
2183,241
2184,67
2185,128
2186,83
2187,218
2188,174
2189,35
2190,38
2191,225
2192,161
2193,20
2194,56
2195,279
2196,152
2197,243
2198,57
2199,2
2200,41
2201,35
2202,110
2203,84
2204,133
2205,36
2206,102
2207,166
2208,7
2209,33
2210,69
2211,52
2212,247
2213,214
2214,50
2215,77
2216,36
2217,72
2218,7
2219,224
2220,40
2221,80
2222,29
2223,28
2224,76
2225,364
2226,8
2227,88
2228,78
2229,60
2230,63
2231,255
2232,43
2233,87
2234,185
2235,150
2236,130
2237,40
2238,145
2239,125
2240,211
2241,278
2242,239
2243,82
2244,60
2245,290
2246,262
2247,122
2248,108
2249,94
2250,174
2251,166
2252,73
2253,90
2254,60
2255,168
2256,169
2257,96
2258,416
2259,130
2260,88
2261,287
2262,55
2263,190
2264,47
2265,202
2266,156
2267,72
2268,55
2269,157
2270,228
2271,322
2272,3
2273,205
2274,335
2275,19
2276,190
2277,62
2278,46
2279,91
2280,122
2281,36
2282,64
2283,10
2284,107
2285,214
2286,14
2287,47
2288,29
2289,70
2290,74
2291,10
2292,67
2293,66
2294,12
2295,17
2296,126
2297,402
2298,122
2299,75
2300,27
2301,144
2302,121
2303,42
2304,74
2305,68
2306,124
2307,27
2308,125
2309,275
2310,31
2311,96
2312,151
2313,39
2314,61
2315,113
2316,322
2317,159
2318,137
2319,172
2320,21
2321,24
2322,151
2323,25
2324,28
2325,76
2326,16
2327,33
2328,124
2329,15
2330,9
2331,198
2332,105
2333,43
2334,67
2335,168
2336,75
2337,72
2338,115
2339,77
2340,12
2341,111
2342,63
2343,67
2344,358
2345,7
2346,6
2347,69
2348,66
2349,219
2350,88
2351,92
2352,91
2353,140
2354,30
2355,20
2356,20
2357,70
2358,212
2359,46
2360,27
2361,115
2362,31
2363,141
2364,112
2365,35
2366,332
2367,40
2368,176
2369,42
2370,1
2371,214
2372,223
2373,55
2374,52
2375,253
2376,10
2377,40
2378,41
2379,73
2380,81
2381,231
2382,40
2383,272
2384,12
2385,173
2386,50
2387,57
2388,14
2389,36
2390,99
2391,391
2392,96
2393,103
2394,120
2395,10
2396,231
2397,205
2398,98
2399,63
2400,302
2401,33
2402,63
2403,165
2404,51
2405,16
2406,128
2407,119
2408,253
2409,67
2410,34
2411,136
2412,146
2413,82
2414,212
2415,74
2416,57
2417,193
2418,191
2419,38
2420,2
2421,77
2422,70
2423,145
2424,22
2425,237
2426,126
2427,101
2428,8
2429,39
2430,221
2431,117
2432,67
2433,259
2434,224
2435,76
2436,138
2437,103
2438,154
2439,129
2440,144
2441,159
2442,177
2443,213
2444,105
2445,363
2446,67
2447,101
2448,28
2449,110
2450,9
2451,145
2452,47
2453,169
2454,104
2455,42
2456,281
2457,223
2458,123
2459,35
2460,39
2461,325
2462,129
2463,88
2464,101
2465,66
2466,360
2467,228
2468,41
2469,201
2470,57
2471,39
2472,54
2473,104
2474,58
2475,119
2476,286
2477,312
2478,133
2479,125
2480,77
2481,113
2482,158
2483,193
2484,20
2485,146
2486,64
2487,127
2488,67
2489,356
2490,82
2491,59
2492,378
2493,101
2494,211
2495,132
2496,38
2497,237
2498,130
2499,24
2500,48
2501,228
2502,83
2503,186
2504,264
2505,73
2506,81
2507,177
2508,47
2509,61
2510,289
2511,76
2512,4
2513,8
2514,24
2515,65
2516,89
2517,250
2518,2
2519,290
2520,181
2521,4
2522,150
2523,73
2524,68
2525,105
2526,169
2527,102
2528,133
2529,111
2530,202
2531,58
2532,46
2533,49
2534,234
2535,66
2536,118
2537,54
2538,114
2539,185
2540,37
2541,100
2542,340
2543,21
2544,16
2545,139
2546,49
2547,337
2548,218
2549,149
2550,13
2551,122
2552,114
2553,111
2554,19
2555,156
2556,74
2557,315
2558,133
2559,95
2560,121
2561,231
2562,43
2563,109
2564,47
2565,66
2566,179
2567,139
2568,87
2569,334
2570,46
2571,55
2572,5
2573,72
2574,109
2575,16
2576,299
2577,231
2578,26
2579,76
2580,50
2581,114
2582,182
2583,253
2584,194
2585,107
2586,120
2587,123
2588,93
2589,159
2590,62
2591,66
2592,293
2593,120
2594,136
2595,232
2596,213
2597,59
2598,10
2599,58
2600,90
2601,154
2602,252
2603,301
2604,35
2605,104
2606,190
2607,31
2608,25
2609,117
2610,18
2611,48
2612,269
2613,90
2614,167
2615,143
2616,177
2617,56
2618,211
2619,46
2620,72
2621,113
2622,279
2623,130
2624,277
2625,190
2626,155
2627,156
2628,138
2629,46
2630,36
2631,58
2632,149
2633,40
2634,186
2635,238
2636,67
2637,179
2638,76
2639,14
2640,68
2641,185
2642,54
2643,325
2644,8
2645,55
2646,50
2647,125
2648,6
2649,36
2650,84
2651,190
2652,52
2653,47
2654,30
2655,267
2656,295
2657,134
2658,401
2659,87
2660,194
2661,39
2662,69
2663,7
2664,125
2665,114
2666,47
2667,126
2668,27
2669,48
2670,145
2671,19
2672,74
2673,85
2674,19
2675,69
2676,59
2677,17
2678,52
2679,61
2680,194
2681,51
2682,33
2683,68
2684,58
2685,155
2686,170
2687,32
2688,48
2689,162
2690,28
2691,224
2692,44
2693,233
2694,24
2695,119
2696,126
2697,199
2698,3
2699,60
2700,91
2701,223
2702,8
2703,13
2704,115
2705,169
2706,56
2707,90
2708,172
2709,35
2710,94
2711,328
2712,58
2713,55
2714,111
2715,91
2716,57
2717,198
2718,18
2719,22
2720,162
2721,4
2722,22
2723,157
2724,171
2725,46
2726,12
2727,86
2728,49
2729,173
2730,63
2731,55
2732,42
2733,186
2734,80
2735,27
2736,271
2737,85
2738,77
2739,312
2740,22
2741,56
2742,112
2743,68
2744,68
2745,329
2746,132
2747,131
2748,20
2749,76
2750,338
2751,92
2752,219
2753,137
2754,361
2755,71
2756,93
2757,131
2758,40
2759,57
2760,11
2761,111
2762,125
2763,112
2764,271
2765,41
2766,45
2767,58
2768,131
2769,84
2770,64
2771,51
2772,18
2773,207
2774,89
2775,101
2776,107
2777,86
2778,172
2779,98
2780,7
2781,59
2782,6
2783,120
2784,58
2785,57
2786,35
2787,92
2788,278
2789,102
2790,41
2791,256
2792,153
2793,164
2794,49
2795,1
2796,85
2797,87
2798,182
2799,333
2800,50
2801,138
2802,186
2803,65
2804,47
2805,63
2806,34
2807,60
2808,76
2809,155
2810,28
2811,19
2812,193
2813,102
2814,42
2815,77
2816,107
2817,72
2818,161
2819,217
2820,228
2821,32
2822,93
2823,252
2824,64
2825,31
2826,108
2827,245
2828,56
2829,251
2830,19
2831,90
2832,116
2833,22
2834,153
2835,5
2836,8
2837,51
2838,35
2839,136
2840,105
2841,90
2842,82
2843,250
2844,69
2845,74
2846,208
2847,166
2848,36
2849,52
2850,51
2851,75
2852,152
2853,12
2854,33
2855,14
2856,74
2857,51
2858,127
2859,83
2860,159
2861,106
2862,97
2863,79
2864,69
2865,72
2866,81
2867,48
2868,74
2869,80
2870,181
2871,34
2872,22
2873,74
2874,515
2875,98
2876,188
2877,74
2878,92
2879,55
2880,74
2881,57
2882,33
2883,36
2884,109
2885,206
2886,57
2887,70
2888,46
2889,90
2890,261
2891,275
2892,54
2893,42
2894,112
2895,263
2896,242
2897,137
2898,128
2899,31
2900,54
2901,3
2902,118
2903,178
2904,90
2905,163
2906,259
2907,33
2908,32
2909,25
2910,193
2911,114
2912,36
2913,139
2914,112
2915,12
2916,227
2917,45
2918,54
2919,89
2920,143
2921,151
2922,64
2923,124
2924,61
2925,105
2926,14
2927,71
2928,176
2929,75
2930,135
2931,85
2932,211
2933,247
2934,243
2935,157
2936,30
2937,175
2938,71
2939,44
2940,84
2941,201
2942,86
2943,166
2944,212
2945,2
2946,176
2947,163
2948,46
2949,76
2950,48
2951,53
2952,60
2953,40
2954,184
2955,39
2956,42
2957,68
2958,90
2959,162
2960,37
2961,152
2962,315
2963,73
2964,82
2965,96
2966,33
2967,72
2968,163
2969,61
2970,25
2971,49
2972,35
2973,50
2974,78
2975,75
2976,98
2977,79
2978,238
2979,193
2980,59
2981,12
2982,190
2983,221
2984,66
2985,79
2986,31
2987,79
2988,56
2989,366
2990,4
2991,14
2992,237
2993,79
2994,54
2995,40
2996,55
2997,250
